id,city,name,address,neigborhood,zip,county,type,latitude,longitude
1641,Clinton,CUMBERLAND BAY MARKET,1544 CUMBERLAND HEAD ROAD,"PLATTSBURGH, NY",12901,PLATTSBURGH,CONVENIENCE STORE,44.72424520800007,-73.41699248599997
1563,Saranac Lake DO,LITTLE SUPER MARKET,5794 STATE ROUTE 86 SUITE #1,WILMINGTON,12997,WILMINGTON,GROCERY SUPERMARKET,44.38883906700005,-73.81256720799996
1881,Chemung,WEST END BEVERAGE,1806 WEST WATER STREET,ELMIRA,14905,ELMIRA,CONVENIENCE STORE,42.081176044000074,-76.85757693399995
1383,Glens Falls DO,CUMBERLAND FARMS #1608,MAIN & RYAN STREETS,QUEENSBURY,12804,QUEENSBURY,CONVENIENCE STORE,43.33374256700006,-73.67868226199994
1123,Watertown DO,STEWART'S #372,RT. 12 & CHERRY,,,WEST TURIN,CONVENIENCE/GAS,42.57956696000008,-75.80910585699996
1017,NYC,HUDSON GROUP (HG) RETAIL LLC,NKA PENN  STATION,MANHATTAN,10001,MANHATTAN,STAND,40.749278520000075,-73.99259388499996
1063,NYC,111 RESTAURANT SERV.,187 AMENITIES BUILDING JFK ARPRT,JAMAICA,11430,QUEENS,RESTAURANT/ATUPA,40.66159926600005,-73.79262173199999
1120,NYC,"LAND, FLOYD",N/E/C 7 AVE AVENUE,NEW YORK,10019,NEW YORK CITY,STAND,40.765148348000025,-73.98498431299998
1288,NYC,CASA DE ADAM'S DELI INC,147 45 182ND  STREET,QUEENS,11413,QUEENS,GROCERY SUPERMARKET,40.67603895900004,-73.75126566099993
1056,NYC,LONG ISLAND EXPRESS DELI & GROCERY CORP,91-16A SUTPHIN BOULEVARD,QUEEN,11435,QUEENS,DELICATESSEN,40.70101044300003,-73.80787292199994
1807,Albany,PRICE CHOPPER #138,873 LOUDON  ROAD,LATHAM,12110,COLONIE,GROCERY SUPERMARKET,42.75452702000007,-73.75878758099998
1285,NYC,SUPER CONVENIENCE DELI GROCERY CORP,1525 EAST NRE YORK AVENUE,BROOKLYN,11212,NEW YORK CITY,GROCERY SUPERMARKET,40.661597896000046,-73.91983651399994
1841,Cayuga,ARCHIE'S,51 GRANT AVENUE,AUBURN,13021,AUBURN,OTHER,42.938820046000046,-76.55542513699999
1871,Chemung,UNCLE JACK'S - W. WATER,1857 WEST WATER STREET,ELMIRA,14905,BIG FLATS,CONVENIENCE/GAS,42.08346748300005,-76.86169010199995
1451,Hornell DO,KWIK FILL M0043,7270 SENECA STREET,HORNELL,14843,HORNELL,CONVENIENCE/GAS,42.333035464000034,-77.66104457799997
1327,Geneva DO,DOLLAR GENERAL 15283,7463 ROUTES 5 & 20,BLOOMFIELD,14469,BLOOMFIELD,DISCOUNT STORE,42.90149285500007,-77.42207383899995
